CIF_ID,CUST_AGE,AGE_WITH_BANK,DIS_AMT,REP_PERD_MTHS,FLOW_AMT,NO_OF_INSTALLMENTS,min_cred_amt_6_months,max_cred_amt_6_months,avg_cred_amt_6_months,median_cred_amt_6_months,avg_monthly_cred_count_6_months,avg_eod_bal_6_months,median_eod_bal_6_months,min_debit_amt_6_months,max_debit_amt_6_months,avg_debit_amt_6_months,median_debit_amt_6_months,avg_monthly_debit_count_6_months,no_of_non_loan_accounts,no_of_loan_accounts,first_otg_trans,number_of_months_active_otg,avg_otg_tran_amt,median_otg_tran_amount,avg_monthly_otg_trans_count,avg_debit_to_credit_amt_ratio,median_debit_to_credit_amt_ratio,DEFAULT_STATUS_ENCODED,number_of_inactive_months_otg,MARITALSTATUS_MARRIED,MARITALSTATUS_SINGLE,SEGMENTATION_CLASS_BL03_OR_BLO5,OTG_TRANSACTING_FLAG,cust_age_19-20,cust_age_21-30,cust_age_31-40,cust_age_41-50,cust_age_51-60,cust_age_61-70,cust_age_71-80,age_with_bank_0-4,age_with_bank_5-8,age_with_bank_9-11,age_with_bank_12-15,first_otg_trans_0-4,first_otg_trans_5-8,first_otg_trans_9-11,first_otg_trans_12-15,no_of_inactive_months_otg_0- <3,no_of_inactive_months_otg_3- <6,no_of_inactive_months_otg_6- <9,no_of_inactive_months_otg_9 - 11
0310444,36,2,200000.0,60,4863.0,1,5000.0,200000.0,28235.384615384617,22435.0,2.1666666666666665,12777.75,5120.5,6.0,22500.0,4000.444444444444,1200.0,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1416819532985827,0.0534878537998662,1,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0320348,31,2,229000.0,60,5515.0,1,6.0,229000.0,34214.818181818184,23550.0,1.5714285714285714,9712.764102564102,5004.0,6.0,13500.0,2063.0023529411765,50.0,12.142857142857142,1.0,0.0,1.0,0.0,1797.7777777777778,1000.0,9.0,0.0602955813466067,0.0021231422505307,1,1.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0109936,50,7,2000000.0,36,70000.0,1,0.06,2000000.0,121571.92805555556,25000.0,7.2,85940.11136666666,0.0,0.01,385000.0,31838.027500000004,9614.78,13.333333333333334,3.0,0.0,0.0,0.0,16250.0,16250.0,2.0,0.2618863417667503,0.3845912,1,0.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0091528,56,8,210000.0,60,5088.0,1,2.0,210000.0,22174.8,15000.0,3.571428571428572,19000.118963962163,2487.58,6.0,54000.0,8918.039487179489,2478.4,5.571428571428571,3.0,0.0,2.0,0.0,12314.285714285714,7200.0,7.0,0.4021700077195505,0.1652266666666666,1,2.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0167797,28,5,600000.0,60,13895.0,1,1.0,600000.0,17151.550675675677,1475.0,10.571428571428571,9523.564715447154,1087.72,0.42,389013.34,5517.94385786802,1000.0,28.142857142857142,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3217169084130432,0.6779661016949152,1,0.0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0312637,22,2,142600.0,60,3471.0,1,1.0,142600.0,4216.231578947369,400.0,13.571428571428571,14005.544299065425,6527.0,6.0,50170.41,1849.7125174825176,463.0,20.428571428571427,1.0,1.0,7.0,7.0,1589.0529801324503,500.0,18.875,0.438712267779257,1.1575,1,0.0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0292896,41,2,1500000.0,60,36482.0,1,13081.0,1500000.0,255419.90625,166512.0,2.2857142857142856,72426.12484848485,1553.0,2.5,308000.0,64099.040869565215,8374.5,6.571428571428571,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2509555414479963,0.050293672528106,1,0.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0195185,41,3,2400000.0,60,58253.0,1,50000.0,2400000.0,220571.51428571428,130000.0,5.0,619373.5877192982,380618.5,40.0,900000.0,92446.22222222222,20000.0,6.428571428571429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4191213109344359,0.1538461538461538,1,0.0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0158438,39,5,3000000.0,60,72869.0,1,5.0,3000000.0,167165.89286956523,100000.0,16.428571428571427,690266.7957142855,547286.64,50.0,990000.0,582092.0833333334,650000.0,4.285714285714286,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.482122299837343,6.5,1,0.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0098610,55,8,3000000.0,24,146753.0,1,0.58,3000000.0,40361.37594444445,11485.0,30.0,136715.64717125986,0.0,0.09,3000000.0,16695.15406896552,400.0,62.142857142857146,3.0,0.0,10.0,10.0,18709.17925,482.5,3.636363636363636,0.4136418464015107,0.0348280365694384,1,0.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0349557,39,1,450000.0,60,10942.0,1,28203.22,450000.0,92905.44285714286,33244.22,1.0,32337.25857142857,3318.6000000000004,6.0,40000.0,12198.666666666666,3600.0,4.5,1.0,0.0,7.0,1.0,9695.0,6320.0,2.0,0.1313019591911755,0.1082895011523807,1,6.0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0091719,54,8,100000.0,36,3508.0,1,22625.0,100000.0,35973.71428571428,27628.0,1.4,10726.2725,324.57,1.0,28000.0,3943.6,30.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1096244877211932,0.0010858549297813,1,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0190419,29,4,500000.0,36,17552.0,1,1.0,500000.0,89184.4965909091,90100.0,12.571428571428571,89974.4838235294,73595.7,2.5,440000.0,32138.76288209607,2000.0,32.714285714285715,2.0,0.0,10.0,10.0,34579.85256410256,5700.0,26.0,0.3603626651559986,0.0221975582685904,1,0.0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0098725,32,8,800000.0,60,38447.0,1,2.0,800000.0,54327.55,13.0,3.333333333333333,32785.29361702128,6867.64,1.0,40000.0,4279.801625,638.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0787777402993508,49.07692307692308,1,0.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0320396,25,2,192600.0,60,4664.0,1,20000.0,192600.0,49657.142857142855,30000.0,1.1666666666666667,30638.116923076923,16384.0,6.0,40000.0,7272.542608695651,60.0,3.8333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464551158252864,0.002,1,0.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
