"CIF_ID","ACID","SCHM_CODE","ACCT_OPN_DATE"
"0061574",IM21740865,LAL03,2023-03-17 00:00:00.000
"0061574",IM21737147,LAL03,2023-03-08 00:00:00.000
"0061574",IM21753812,LAL03,2023-04-24 00:00:00.000
"0061574",IM21752694,LAL03,2023-04-19 00:00:00.000
"0061574",IM21752710,LAL03,2023-04-19 00:00:00.000
"0061574",IM21753756,LAL03,2023-04-24 00:00:00.000
"0061574",IM21759452,LAL03,2023-05-08 00:00:00.000
"0061574",IM21757953,LAL03,2023-05-04 00:00:00.000
"0061574",IM21756592,LAL03,2023-04-28 00:00:00.000
"0061574",IM21757131,LAL03,2023-05-02 00:00:00.000
"0061574",IM21756669,LAL03,2023-04-29 00:00:00.000
"0061574",IM21753693,LAL03,2023-04-24 00:00:00.000
"0061574",IM21756753,LAL03,2023-04-29 00:00:00.000
"0061574",IM21708816,LAL03,2022-11-21 00:00:00.000
"0061574",IM21720099,LAL03,2023-01-09 00:00:00.000
"0061574",IM21726786,LAL03,2023-02-03 00:00:00.000
"0061574",IM21721014,LAL03,2023-01-12 00:00:00.000
"0061574",IM21729436,LAL03,2023-02-14 00:00:00.000
"0061574",IM21729284,LAL03,2023-02-14 00:00:00.000
"0061574",IM21724534,LAL03,2023-01-26 00:00:00.000
"0061574",IM21727579,LAL03,2023-02-07 00:00:00.000
"0061574",IM21722909,LAL03,2023-01-19 00:00:00.000
"0061574",IM21728540,LAL03,2023-02-08 00:00:00.000
"0061574",IM21729259,LAL03,2023-02-14 00:00:00.000
"0061574",IM21727867,LAL03,2023-02-08 00:00:00.000
"0061574",IM21728786,LAL03,2023-02-11 00:00:00.000
"0061574",IM21729000,LAL03,2023-02-13 00:00:00.000
"0061574",IM21722002,LAL03,2023-01-17 00:00:00.000
"0061574",IM21744989,LAL03,2023-03-30 00:00:00.000
"0061574",IM21741616,LAL03,2023-03-20 00:00:00.000
"0061574",IM21743005,LAL03,2023-03-24 00:00:00.000
"0061574",IM21742973,LAL03,2023-03-24 00:00:00.000
"0061574",IM21743151,LAL03,2023-03-24 00:00:00.000
"0061574",IM21742779,LAL03,2023-03-23 00:00:00.000
"0061574",IM21751034,LAL03,2023-04-15 00:00:00.000
"0061574",IM21748224,LAL03,2023-04-06 00:00:00.000
"0061574",IM21746209,LAL03,2023-04-01 00:00:00.000
"0061574",IM21742231,LAL03,2023-03-22 00:00:00.000
"0061574",IM21749981,LAL03,2023-04-13 00:00:00.000
"0061574",IM21748184,LAL03,2023-04-06 00:00:00.000
"0061574",IM21743930,LAL03,2023-03-27 00:00:00.000
"0077432",IM21360764,LAL03,2019-09-24 00:00:00.000
"0144916",IM21605780,LAL03,2021-08-30 00:00:00.000
"0183095",IM21623416,LAL03,2021-10-22 00:00:00.000
"0106912",IM21479701,LAL03,2021-08-06 00:00:00.000
"0141480",IM21471755,LAL03,2021-06-19 00:00:00.000
"0141480",IM21624397,LAL03,2021-10-28 00:00:00.000
"0322127",IM21625963,LAL03,2021-11-05 00:00:00.000
"0322127",IM21691604,LAL03,2022-09-09 00:00:00.000
"0175125",IM21638744,LAL03,2022-01-12 00:00:00.000
"0163584",IM21316018,LAL04,2018-08-02 00:00:00.000
"0149590",IM21314760,LAL04,2017-07-10 00:00:00.000
"0183716",IM21360720,LAL04,2019-09-24 00:00:00.000
"0335017",IM21624352,LAL04,2021-10-28 00:00:00.000
"0335681",IM21696229,LAL04,2022-09-30 00:00:00.000
"0167797",IM21418589,LAL04,2020-08-14 00:00:00.000
"0167104",IM21442554,LAL04,2020-12-28 00:00:00.000
"0315829",IM21446692,LAL04,2021-01-22 00:00:00.000
"0315829",IM21472103,LAL04,2021-06-22 00:00:00.000
"0017598",IM21466279,LAL04,2021-05-19 00:00:00.000
"0084487",IM21314291,LAL04,2017-02-07 00:00:00.000
"0175128",IM21613129,LAL04,2021-09-29 00:00:00.000
"0022662",IM21318338,LAL04,2019-04-10 00:00:00.000
"0293897",IM21426170,LAL04,2020-09-23 00:00:00.000
"0228231",IM21716057,LAL04,2022-12-19 00:00:00.000
"0023301",IM21755853,LAL04,2023-04-27 00:00:00.000
"0073099",IM21380660,LAL04,2019-12-19 00:00:00.000
"0119636",IM21381273,LAL04,2019-12-24 00:00:00.000
"0347037",IM21702146,LAL04,2022-10-27 00:00:00.000
"0319400",IM21697661,LAL04,2022-10-06 00:00:00.000
"0347037",IM21701868,LAL04,2022-10-26 00:00:00.000
"0048776",IM21354983,LAL04,2019-08-22 00:00:00.000
"0048776",IM21470112,LAL04,2021-06-09 00:00:00.000
"0161505",IM21318069,LAL04,2019-03-21 00:00:00.000
"0060033",IM21406974,LAL04,2020-06-11 00:00:00.000
"0179998",IM21441862,LAL04,2020-12-22 00:00:00.000
"0174735",IM21727506,LAL04,2023-02-07 00:00:00.000
"0154388",IM21422179,LAL04,2020-09-03 00:00:00.000
"0070797",IM21315345,LAL04,2018-01-31 00:00:00.000
"0139031",IM21318315,LAL04,2019-04-08 00:00:00.000
"0138847",IM21316748,LAL04,2018-11-15 00:00:00.000
"0082730",IM21354766,LAL04,2019-08-21 00:00:00.000
"0156659",IM21709267,LAL04,2022-11-22 00:00:00.000
"0278516",IM21655560,LAL04,2022-03-25 00:00:00.000
"0089222",IM21705946,LAL04,2022-11-08 00:00:00.000
"0077432",IM21383001,LAL04,2020-01-08 00:00:00.000
"0147767",IM21653030,LAL04,2022-03-16 00:00:00.000
"0353914",IM21652923,LAL04,2022-03-15 00:00:00.000
"0334150",IM21482185,LAL04,2021-08-23 00:00:00.000
"0346526",IM21643437,LAL04,2022-02-02 00:00:00.000
"0345574",IM21639718,LAL04,2022-01-17 00:00:00.000
"0183095",IM21457506,LAL04,2021-03-24 00:00:00.000
"0089561",IM21647257,LAL04,2022-02-18 00:00:00.000
"0319872",IM21639925,LAL04,2022-01-18 00:00:00.000
"0161627",IM21315238,LAL04,2017-12-29 00:00:00.000
"0136475",IM21476714,LAL04,2021-07-21 00:00:00.000
"0341918",IM21670247,LAL04,2022-06-03 00:00:00.000
"0123808",IM21477120,LAL04,2021-07-23 00:00:00.000
"0098531",IM21317925,LAL04,2019-03-08 00:00:00.000
"0162572",IM21359864,LAL04,2019-09-18 00:00:00.000
"0099911",IM21433139,LAL04,2020-11-02 00:00:00.000
"0070519",IM21315065,LAL04,2017-10-30 00:00:00.000
"0033056",IM21315791,LAL04,2018-06-21 00:00:00.000
"0033056",IM21474494,LAL04,2021-07-06 00:00:00.000
"0165059",IM21744335,LAL04,2023-03-28 00:00:00.000
"0311388",IM21710494,LAL04,2022-11-25 00:00:00.000
"0175128",IM21619037,LAL04,2021-09-29 00:00:00.000
"0343304",IM21648416,LAL04,2022-02-24 00:00:00.000
"0227713",IM21367969,LAL04,2019-10-29 00:00:00.000
"0191428",IM21345033,LAL04,2019-07-15 00:00:00.000
"0275899",IM21394749,LAL04,2020-03-13 00:00:00.000
"0152871",IM21465073,LAL04,2021-05-11 00:00:00.000
"0148118",IM21315801,LAL04,2018-06-26 00:00:00.000
"0148118",IM21379285,LAL04,2019-12-10 00:00:00.000
"0048776",IM21314165,LAL05,2016-11-22 00:00:00.000
"0121618",IM21313999,LAL05,2016-07-14 00:00:00.000
"0049472",IM21315117,LAL06,2017-11-15 00:00:00.000
"0037195",IM21448313,LAL06,2021-02-01 00:00:00.000
"0154190",IM21315338,LAL06,2018-01-30 00:00:00.000
"0061128",IM21313117,LAL06,2012-05-11 00:00:00.000
"0061128",IM21313391,LAL06,2014-09-18 00:00:00.000
"0061128",IM21370984,LAL06,2019-11-15 00:00:00.000
"0076805",IM21457794,LAL06,2021-03-26 00:00:00.000
"0094673",IM21665355,LAL06,2022-05-12 00:00:00.000
"0149158",IM21314828,LAL06,2017-07-25 00:00:00.000
"0166091",IM21316165,LAL06,2018-08-30 00:00:00.000
"0317733",IM21644879,LAL07,2022-02-08 00:00:00.000
"0320396",IM21643367,LAL07,2022-02-02 00:00:00.000
"0123242",IM21640255,LAL07,2022-01-19 00:00:00.000
"0036661",IM21644911,LAL07,2022-02-08 00:00:00.000
"0019889",IM21650860,LAL07,2022-03-07 00:00:00.000
"0159388",IM21648347,LAL07,2022-02-24 00:00:00.000
"0128601",IM21651724,LAL07,2022-03-10 00:00:00.000
"0104050",IM21651820,LAL07,2022-03-10 00:00:00.000
"0040805",IM21649754,LAL07,2022-03-02 00:00:00.000
"0167104",IM21647267,LAL07,2022-02-18 00:00:00.000
"0015206",IM21650347,LAL07,2022-03-04 00:00:00.000
"0097577",IM21646120,LAL07,2022-02-14 00:00:00.000
"0177652",IM21642176,LAL07,2022-01-27 00:00:00.000
"0144484",IM21645831,LAL07,2022-02-11 00:00:00.000
"0170288",IM21643205,LAL07,2022-02-01 00:00:00.000
"0322166",IM21666437,LAL07,2022-05-17 00:00:00.000
"0021828",IM21664136,LAL07,2022-05-07 00:00:00.000
"0035096",IM21671849,LAL07,2022-06-10 00:00:00.000
"0177652",IM21666735,LAL07,2022-05-18 00:00:00.000
"0341000",IM21666477,LAL07,2022-05-17 00:00:00.000
"0167797",IM21668027,LAL07,2022-05-24 00:00:00.000
"0045933",IM21669274,LAL07,2022-05-30 00:00:00.000
"0064451",IM21665042,LAL07,2022-05-11 00:00:00.000
"0328423",IM21673217,LAL07,2022-06-16 00:00:00.000
"0164232",IM21674140,LAL07,2022-06-21 00:00:00.000
"0335017",IM21670429,LAL07,2022-06-04 00:00:00.000
"0184976",IM21673594,LAL07,2022-06-17 00:00:00.000
"0002237",IM21671081,LAL07,2022-06-07 00:00:00.000
"0050531",IM21664378,LAL07,2022-05-09 00:00:00.000
"0277727",IM21665149,LAL07,2022-05-11 00:00:00.000
"0070519",IM21668714,LAL07,2022-05-26 00:00:00.000
"0177900",IM21668626,LAL07,2022-05-26 00:00:00.000
"0049714",IM21674747,LAL07,2022-06-23 00:00:00.000
"0075993",IM21673964,LAL07,2022-06-20 00:00:00.000
"0121569",IM21674319,LAL07,2022-06-22 00:00:00.000
"0170872",IM21672614,LAL07,2022-06-14 00:00:00.000
"0283997",IM21671126,LAL07,2022-06-07 00:00:00.000
"0291973",IM21667939,LAL07,2022-05-24 00:00:00.000
"0193124",IM21673440,LAL07,2022-06-17 00:00:00.000
"0049472",IM21669635,LAL07,2022-05-31 00:00:00.000
"0183208",IM21671013,LAL07,2022-06-07 00:00:00.000
"0341826",IM21692421,LAL07,2022-09-14 00:00:00.000
"0347910",IM21692851,LAL07,2022-09-15 00:00:00.000
"0055238",IM21689469,LAL07,2022-08-31 00:00:00.000
"0036661",IM21686445,LAL07,2022-08-18 00:00:00.000
"0055247",IM21693266,LAL07,2022-09-17 00:00:00.000
"0053756",IM21688770,LAL07,2022-08-29 00:00:00.000
"0322995",IM21691345,LAL07,2022-09-08 00:00:00.000
"0347910",IM21691227,LAL07,2022-09-08 00:00:00.000
"0181566",IM21685843,LAL07,2022-08-15 00:00:00.000
"0196828",IM21694358,LAL07,2022-09-22 00:00:00.000
"0168253",IM21690095,LAL07,2022-09-02 00:00:00.000
"0163046",IM21691678,LAL07,2022-09-09 00:00:00.000
"0355314",IM21693705,LAL07,2022-09-20 00:00:00.000
"0350309",IM21691545,LAL07,2022-09-09 00:00:00.000
"0299091",IM21689386,LAL07,2022-08-31 00:00:00.000
"0347910",IM21691684,LAL07,2022-09-09 00:00:00.000
"0093878",IM21694820,LAL07,2022-09-23 00:00:00.000
"0178944",IM21691473,LAL07,2022-09-08 00:00:00.000
"0018559",IM21695754,LAL07,2022-09-28 00:00:00.000
"0152661",IM21692489,LAL07,2022-09-14 00:00:00.000
"0337482",IM21690087,LAL07,2022-09-02 00:00:00.000
"0317281",IM21688172,LAL07,2022-08-25 00:00:00.000
"0097168",IM21693096,LAL07,2022-09-16 00:00:00.000
"0323886",IM21693111,LAL07,2022-09-16 00:00:00.000
"0343089",IM21691084,LAL07,2022-09-07 00:00:00.000
"0170872",IM21696829,LAL07,2022-10-03 00:00:00.000
"0333768",IM21690569,LAL07,2022-09-05 00:00:00.000
"0037195",IM21689958,LAL07,2022-09-02 00:00:00.000
"0037123",IM21694052,LAL07,2022-09-21 00:00:00.000
"0169044",IM21691769,LAL07,2022-09-10 00:00:00.000
"0184256",IM21696737,LAL07,2022-10-03 00:00:00.000
"0178383",IM21716026,LAL07,2022-12-19 00:00:00.000
"0365151",IM21714823,LAL07,2022-12-14 00:00:00.000
"0329589",IM21712344,LAL07,2022-12-02 00:00:00.000
"0365265",IM21716017,LAL07,2022-12-19 00:00:00.000
"0225577",IM21712984,LAL07,2022-12-06 00:00:00.000
"0195372",IM21711472,LAL07,2022-11-29 00:00:00.000
"0054070",IM21711250,LAL07,2022-11-28 00:00:00.000
"0284878",IM21714509,LAL07,2022-12-13 00:00:00.000
"0286610",IM21717817,LAL07,2022-12-28 00:00:00.000
"0021196",IM21711984,LAL07,2022-12-01 00:00:00.000
