"CIF_ID","ACID","SCHM_CODE","ACCT_OPN_DATE"
"0171315",IM21054114,CAL31,2018-05-07 00:00:00.000
"0119636",IM21052686,CAL31,2015-10-07 00:00:00.000
"0125139",IM21053009,CAL12,2016-01-28 00:00:00.000
"0087523",IM21053805,CAL01,2017-10-11 00:00:00.000
"0055220",IM21054282,CAL08,2018-09-26 00:00:00.000
"0171283",IM21054620,CAL19,2018-07-13 00:00:00.000
"0171283",IM21054779,CAL31,2018-05-07 00:00:00.000
"0124369",IM21053178,CAL31,2016-01-15 00:00:00.000
"0118594",IM21052547,CAL04,2015-09-17 00:00:00.000
"0120266",IM21052554,CAL01,2015-10-21 00:00:00.000
"0176375",IM21054651,CAL12,2018-07-25 00:00:00.000
"0177523",IM21054163,CAL12,2018-08-09 00:00:00.000
"0176471",IM21054170,CAL30,2018-07-26 00:00:00.000
"0173965",IM21054658,CAL31,2018-06-19 00:00:00.000
"0183058",IM21054816,CAL31,2018-12-04 00:00:00.000
"0126934",IM21053380,CAL31,2016-02-26 00:00:00.000
"0153756",IM21069451,CAL24,2017-04-24 00:00:00.000
"0154136",IM21069797,CAL31,2017-05-04 00:00:00.000
"0165587",IM21069992,CAL31,2018-01-26 00:00:00.000
"0022662",IM21068572,ODL02,2009-03-02 00:00:00.000
"0023301",IM21068879,ODL02,2009-05-25 00:00:00.000
"0099236",IM21069351,CAL08,2017-05-31 00:00:00.000
"0043757",IM21069361,ODF05,2009-09-23 00:00:00.000
"0153749",IM21068603,CAL31,2017-04-24 00:00:00.000
"0021181",IM21068750,SBL02,2017-02-14 00:00:00.000
"0098725",IM21067718,CAL04,2014-10-22 00:00:00.000
"0169044",IM21070079,CAL31,2018-03-28 00:00:00.000
"0151223",IM21068964,CAL06,2017-03-13 00:00:00.000
"0141748",IM21069601,CAL31,2016-12-05 00:00:00.000
"0154260",IM21068087,CAL31,2017-05-08 00:00:00.000
"0165020",IM21072289,CAL31,2018-01-16 00:00:00.000
"0161373",IM21070090,CAL30,2017-10-06 00:00:00.000
"0166147",IM21070718,CAL31,2018-02-06 00:00:00.000
"0165934",IM21071545,CAL31,2018-02-01 00:00:00.000
"0167104",IM21072141,CAL30,2018-02-23 00:00:00.000
"0165359",IM21072315,CAL04,2018-01-23 00:00:00.000
"0168860",IM21071016,CAL12,2018-03-26 00:00:00.000
"0165199",IM21070785,CAL31,2018-01-19 00:00:00.000
"0163791",IM21072357,CAL12,2017-12-08 00:00:00.000
"0158405",IM21071073,CAL31,2017-08-03 00:00:00.000
"0041949",IM21070100,ODF05,2010-02-24 00:00:00.000
"0029740",IM21071836,ODL02,2010-11-24 00:00:00.000
"0158438",IM21071397,CAL30,2017-08-04 00:00:00.000
"0081424",IM21070272,CAL06,2018-01-31 00:00:00.000
"0166095",IM21071429,CAL31,2018-02-05 00:00:00.000
"0157816",IM21070622,CAL31,2017-07-24 00:00:00.000
"0161627",IM21070912,CAL30,2017-10-13 00:00:00.000
"0168966",IM21071763,CAL31,2018-03-27 00:00:00.000
"0046297",IM21070220,ODF05,2010-03-09 00:00:00.000
"0158427",IM21070349,CAL31,2017-08-04 00:00:00.000
"0029610",IM21070934,CAL31,2017-07-25 00:00:00.000
"0041558",IM21071778,CAL02,2018-03-14 00:00:00.000
"0051010",IM21071645,ODF05,2010-10-22 00:00:00.000
"0022662",IM21066903,ODF05,2007-02-28 00:00:00.000
"0022662",IM21066323,ODF05,2007-03-13 00:00:00.000
"0008369",IM21063594,ODF05,2003-12-10 00:00:00.000
"0022662",IM21066395,ODF05,2007-03-13 00:00:00.000
"0004814",IM21064492,ODF05,2005-04-21 00:00:00.000
"0015206",IM21067425,ODF05,2002-12-30 00:00:00.000
"0023168",IM21067158,ODF05,2006-09-13 00:00:00.000
"0088555",IM21066336,CAL24,2014-03-05 00:00:00.000
"0053107",IM21066955,CAL31,2014-07-23 00:00:00.000
"0112293",IM21062655,CAL30,2015-06-15 00:00:00.000
"0124962",IM21064245,CAL06,2016-01-26 00:00:00.000
"0130023",IM21065145,CAL31,2016-04-22 00:00:00.000
"0085388",IM21065754,CAL04,2013-11-27 00:00:00.000
"0116395",IM21062670,CAL06,2015-08-06 00:00:00.000
"0133610",IM21065158,CAL31,2016-07-06 00:00:00.000
"0088190",IM21066058,CAL06,2014-02-25 00:00:00.000
"0127877",IM21064279,CAL31,2016-03-16 00:00:00.000
"0017633",IM21064875,CAL31,2016-04-04 00:00:00.000
"0128972",IM21064890,CAL31,2016-04-08 00:00:00.000
"0118235",IM21062729,CAL31,2015-09-11 00:00:00.000
"0120531",IM21063709,CAL06,2015-10-24 00:00:00.000
"0128398",IM21064927,CAL31,2016-03-30 00:00:00.000
"0087899",IM21066426,CAL30,2014-02-18 00:00:00.000
"0128405",IM21064941,CAL31,2016-03-30 00:00:00.000
"0087523",IM21066175,CAL01,2014-02-07 00:00:00.000
"0115743",IM21062800,CAL31,2015-07-28 00:00:00.000
"0122056",IM21063400,CAL31,2015-11-18 00:00:00.000
"0086053",IM21065884,CAL06,2013-12-20 00:00:00.000
"0115278",IM21062809,CAL31,2015-07-22 00:00:00.000
"0123425",IM21063413,CAL06,2015-12-16 00:00:00.000
"0128334",IM21064704,CAL06,2016-03-24 00:00:00.000
"0130164",IM21065008,CAL08,2016-04-26 00:00:00.000
"0091528",IM21062832,CAL31,2015-10-01 00:00:00.000
"0119977",IM21063132,CAL30,2015-10-15 00:00:00.000
"0122187",IM21063836,CAL31,2015-11-20 00:00:00.000
"0122081",IM21063459,CAL04,2015-11-19 00:00:00.000
"0125152",IM21064176,CAL04,2016-01-28 00:00:00.000
"0126090",IM21064459,CAL31,2016-02-12 00:00:00.000
"0086913",IM21066270,CAL31,2014-01-23 00:00:00.000
"0034139",IM21065382,CAL01,2016-05-24 00:00:00.000
"0095335",IM21067417,CAL31,2014-08-12 00:00:00.000
"0003807",IM21077702,CAL30,2000-02-04 00:00:00.000
"0185800",IM21076309,CAL31,2019-01-31 00:00:00.000
"0035119",IM21078542,CAL31,2008-04-09 00:00:00.000
"0042753",IM21079426,SBL01,2009-07-17 00:00:00.000
"0035096",IM21077178,CAL31,2008-04-08 00:00:00.000
"0041949",IM21079453,CAL31,2009-05-11 00:00:00.000
"0174110",IM21075749,CAL12,2019-03-27 00:00:00.000
"0190348",IM21076047,CAL31,2019-04-11 00:00:00.000
"0186237",IM21076352,CAL31,2019-02-08 00:00:00.000
"0187245",IM21075769,CAL31,2019-02-25 00:00:00.000
"0190231",IM21076362,CAL12,2019-04-09 00:00:00.000
"0045112",IM21079169,CAL06,2009-12-14 00:00:00.000
"0040789",IM21079191,CAL31,2009-02-23 00:00:00.000
"0175449",IM21075215,CAL31,2018-07-12 00:00:00.000
"0187754",IM21075818,CAL31,2019-03-05 00:00:00.000
"0189695",IM21077252,CAL06,2019-04-02 00:00:00.000
"0039489",IM21078915,CAL04,2008-12-01 00:00:00.000
"0178420",IM21075235,CAL25,2018-08-29 00:00:00.000
"0189715",IM21076416,CAL31,2019-04-02 00:00:00.000
"0186299",IM21076987,CAL31,2019-02-11 00:00:00.000
"0002636",IM21077007,CAL01,1998-10-14 00:00:00.000
"0019889",IM21077288,CAL31,2005-01-10 00:00:00.000
"0040974",IM21079252,CAL30,2009-03-07 00:00:00.000
"0190201",IM21076749,CAL24,2019-04-09 00:00:00.000
"0022534",IM21077553,CAL02,2005-10-05 00:00:00.000
"0009366",IM21078120,CAL02,1989-07-12 00:00:00.000
"0186428",IM21076188,CAL31,2019-02-12 00:00:00.000
"0035478",IM21078145,CAL06,2008-04-30 00:00:00.000
"0173840",IM21075313,CAL31,2018-06-14 00:00:00.000
"0050608",IM21077085,CAL06,2019-04-20 00:00:00.000
"0008369",IM21077089,CAL01,2002-12-13 00:00:00.000
"0186012",IM21076822,CAL31,2019-02-05 00:00:00.000
"0176618",IM21075363,CAL31,2018-07-27 00:00:00.000
"0033771",IM21077410,CAL31,2008-01-14 00:00:00.000
"0154452",IM21079696,CAL19,2017-08-18 00:00:00.000
"0044826",IM21080011,CAL31,2018-12-07 00:00:00.000
"0179144",IM21081196,CAL12,2018-09-12 00:00:00.000
"0171483",IM21080916,CAL31,2018-05-09 00:00:00.000
"0082004",IM21081121,ODF05,2013-08-13 00:00:00.000
"0175179",IM21081521,CAL31,2018-07-06 00:00:00.000
"0179408",IM21081525,CAL31,2018-09-15 00:00:00.000
"0183095",IM21080681,CAL31,2018-12-04 00:00:00.000
"0181577",IM21080684,CAL31,2018-11-01 00:00:00.000
"0088506",IM21080972,CAL31,2018-07-11 00:00:00.000
"0084487",IM21082047,ODL02,2013-10-31 00:00:00.000
"0162055",IM21079812,CAL10,2017-10-24 00:00:00.000
"0178383",IM21080412,CAL31,2018-08-28 00:00:00.000
"0170951",IM21080705,CAL12,2018-05-02 00:00:00.000
"0117651",IM21082397,CAL08,2015-09-01 00:00:00.000
"0180557",IM21081345,CAL12,2018-10-11 00:00:00.000
"0165233",IM21079886,CAL31,2018-01-19 00:00:00.000
"0080588",IM21080598,ODF05,2013-07-04 00:00:00.000
"0080588",IM21080600,ODF05,2013-07-04 00:00:00.000
"0182558",IM21080199,CAL30,2018-11-22 00:00:00.000
"0182029",IM21081375,CAL06,2018-11-12 00:00:00.000
"0117110",IM21082279,CAL31,2015-08-19 00:00:00.000
"0178935",IM21081109,CAL31,2018-09-07 00:00:00.000
"0040097",IM21080975,ODF05,2013-08-02 00:00:00.000
"0037274",IM21082472,CAL31,2015-09-01 00:00:00.000
"0179746",IM21080591,CAL31,2018-09-21 00:00:00.000
"0081121",IM21080741,ODL02,2013-07-15 00:00:00.000
"0116859",IM21081996,CAL30,2015-08-14 00:00:00.000
"0076805",IM21079438,ODL07,2013-04-08 00:00:00.000
"0076976",IM21079495,ODF05,2013-04-16 00:00:00.000
"0015206",IM21080572,ODF05,2013-07-02 00:00:00.000
"0051063",IM21079869,ODF05,2013-05-15 00:00:00.000
"0074910",IM21078575,ODL02,2013-01-17 00:00:00.000
"0058107",IM21078602,ODF05,2013-01-21 00:00:00.000
"0060033",IM21080307,ODF05,2013-06-14 00:00:00.000
"0069645",IM21076566,ODF05,2012-07-05 00:00:00.000
"0061574",IM21078370,ODL01,2012-12-28 00:00:00.000
"0064077",IM21075228,ODF05,2012-02-10 00:00:00.000
"0064284",IM21075269,ODL01,2012-02-15 00:00:00.000
"0002636",IM21079735,ODF05,2013-05-07 00:00:00.000
"0067650",IM21075953,ODF05,2012-05-02 00:00:00.000
"0136897",IM21073270,CAL04,2016-08-31 00:00:00.000
"0047042",IM21073824,ODF05,2011-09-19 00:00:00.000
"0004524",IM21073917,CAL19,2016-11-24 00:00:00.000
"0173382",IM21074802,CAL31,2018-06-08 00:00:00.000
